conversation_id	conversation_idx	input_tokens	cached_tokens_agg	cached_tokens_disagg	ttft_server_agg_ms	ttft_server_disagg_ms	delta_ttft_ms	proxy_to_ctx_ms	ctx_postproc_ms	relay_hop_ms	gen_preproc_ms	gen_queue_ms	gen_first_decode_ms	proxy_to_client_ms	delta_preproc_ms	delta_queue_ms	delta_prefill_ms	delta_postproc_ms	delta_gpu_forward_ms	delta_prefill_host_ms
aa-rwlt-coding-agent-010	0	10260	2070	2070	95.970	153.941	57.971	0.842	2.230	4.892	1.554	18.235	5.587	0.482	4.184	1.525	23.399	-4.959		
aa-rwlt-coding-agent-010	1	18551	10263	10260	125.349	69.821	-55.528	0.866	3.059	4.941	1.651	16.793	5.582	0.501	0.047	0.239	-84.161	-5.046		
aa-rwlt-coding-agent-010	2	18716	18554	18551	42.454	68.297	25.843	0.903	2.303	5.080	1.712	16.175	5.537	0.506	0.304	0.153	-1.760	-5.070		
aa-rwlt-coding-agent-010	3	19031	18719	18716	42.065	100.410	58.345	2.507	3.105	5.320	1.788	19.225	5.960	0.478	0.893	0.684	22.398	-4.013		
aa-rwlt-coding-agent-010	4	20861	19034	19031	64.025	93.357	29.332	0.998	2.207	5.624	1.898	21.704	5.652	0.522	0.586	0.523	-5.378	-5.004		
aa-rwlt-coding-agent-010	5	22210	20864	20861	58.923	81.255	22.332	1.087	2.163	5.816	1.933	21.847	5.510	0.523	0.134	0.328	-12.339	-4.670		
aa-rwlt-coding-agent-010	6	22317	22213	22210	46.908	99.602	52.694	1.112	2.890	5.963	1.996	23.612	5.622	0.490	0.634	0.468	14.848	-4.941		
aa-rwlt-coding-agent-010	7	23712	22323	22317	62.413	83.497	21.084	1.076	2.106	5.982	2.063	23.820	5.660	0.501	0.033	0.263	-16.366	-4.054		
aa-rwlt-coding-agent-010	8	23811	23715	23712	46.610	123.239	76.629	1.202	2.735	6.507	2.244	27.939	5.583	0.492	1.141	1.102	32.661	-4.977		
aa-rwlt-coding-agent-010	9	25724	23816	23811	73.122	89.441	16.319	1.173	2.213	6.399	2.203	27.832	5.637	0.504	0.271	0.209	-25.191	-4.931		
aa-rwlt-coding-agent-010	10	25896	25727	25724	49.091	117.305	68.214	1.273	2.579	6.672	2.306	30.828	5.591	0.488	0.880	0.613	21.713	-4.729		
aa-rwlt-coding-agent-010	11	27162	25899	25896	72.260	97.719	25.459	1.245	2.246	6.728	2.391	31.037	5.634	0.499	0.403	0.638	-21.886	-3.476		
aa-rwlt-coding-agent-010	12	27314	27165	27162	50.860	106.249	55.389	1.332	2.533	6.874	2.429	32.770	5.678	0.499	0.585	0.369	7.089	-4.769		
aa-rwlt-coding-agent-010	13	28039	27317	27314	59.169	116.735	57.566	1.981	2.410	7.237	2.634	37.708	5.714	1.434	1.035	1.114	1.442	-5.143		
aa-rwlt-coding-agent-010	14	28901	28042	28039	68.105	119.924	51.819	1.266	2.789	13.807	2.822	37.910	5.660	0.383	0.509	0.436	-8.581	-5.182		
aa-rwlt-coding-agent-010	15	29498	28907	28901	59.905	120.067	60.162	1.684	2.608	7.339	2.732	39.650	6.370	0.396	0.805	0.357	2.262	-4.041		
aa-rwlt-coding-agent-010	16	30329	29501	29498	64.368	111.298	46.930	1.449	3.220	7.460	2.557	39.977	5.694	0.383	0.646	0.012	-8.972	-5.496		
aa-rwlt-coding-agent-010	17	30577	30332	30329	56.799	121.498	64.699	1.513	2.497	7.541	2.808	41.597	5.668	0.495	0.541	0.297	6.039	-4.297		
aa-rwlt-coding-agent-010	18	31240	30580	30577	64.081	112.558	48.477	2.011	2.350	7.522	2.670	42.008	5.689	0.502	0.190	0.235	-9.257	-5.443		
aa-rwlt-coding-agent-010	19	31368	31243	31240	57.569	142.246	84.677	1.503	2.561	7.850	2.777	46.238	5.655	0.489	0.518	0.468	20.806	-4.188		
aa-rwlt-coding-agent-010	20	32886	31371	31368	79.568	124.450	44.882	1.600	2.536	8.115	2.905	47.883	5.684	0.482	0.460	0.314	-19.441	-5.656		
aa-rwlt-coding-agent-010	21	33305	32889	32886	61.048	123.319	62.271	1.611	2.397	8.055	2.839	48.582	5.777	0.542	0.167	0.039	-2.838	-4.900		
aa-rwlt-coding-agent-010	22	33470	33308	33305	60.059	138.641	78.582	1.606	2.583	8.099	2.910	50.925	5.936	0.484	0.558	0.094	9.441	-4.054		
aa-rwlt-coding-agent-010	23	34383	33474	33470	71.526	144.186	72.660	1.639	2.510	8.345	3.042	54.447	7.146	0.483	0.571	0.364	-1.704	-4.183		
aa-rwlt-coding-agent-010	24	35126	34390	34383	70.547	147.693	77.146	1.785	2.589	8.430	3.132	56.595	5.622	0.504	0.710	0.150	1.589	-3.960		
aa-rwlt-coding-agent-010	25	36013	35129	35126	79.332	141.146	61.814	1.712	2.203	10.936	3.042	58.569	6.716	0.490	0.594	-0.018	-16.629	-5.801		
aa-rwlt-coding-agent-010	26	36277	36024	36013	62.633	138.948	76.315	1.764	2.774	8.408	3.093	59.143	5.798	0.488	0.543	-0.136	-1.053	-4.507		
aa-rwlt-coding-agent-010	27	36546	36284	36277	65.396	140.060	74.664	1.768	2.484	8.495	3.046	58.702	5.578	0.553	0.058	-0.003	-1.716	-4.301		
aa-rwlt-coding-agent-010	28	36776	36549	36546	65.510	151.793	86.283	1.733	2.428	8.628	3.255	61.321	5.735	0.481	0.253	0.166	7.552	-5.269		
aa-rwlt-coding-agent-010	29	37467	36779	36776	74.048	198.273	124.225	2.076	2.706	52.689	3.134	63.499	5.875	0.499	0.438	0.317	-1.818	-5.190		
aa-rwlt-coding-agent-010	30	37997	37470	37467	73.215	148.809	75.594	1.880	2.521	8.961	3.314	63.982	6.155	0.484	0.431	-0.018	-7.941	-4.175		
aa-rwlt-coding-agent-010	31	38404	38000	37997	66.796	159.922	93.126	1.945	2.256	8.913	3.343	66.704	5.944	0.478	0.365	0.044	8.328	-5.194		
aa-rwlt-coding-agent-010	32	39004	38408	38404	76.657	158.150	81.493	2.474	2.616	9.237	3.466	68.703	6.855	0.553	0.643	0.474	-8.965	-4.563		
aa-rwlt-coding-agent-010	33	39322	39007	39004	67.861	156.940	89.079	1.947	2.519	9.122	3.305	70.797	5.886	0.485	0.631	-0.118	-0.672	-4.823		
aa-rwlt-coding-agent-010	34	39689	39325	39322	72.475	168.935	96.460	2.079	2.598	9.194	3.421	72.954	5.599	0.487	0.626	-0.737	5.299	-5.060		
aa-rwlt-coding-agent-010	35	40352	39693	39689	79.394	173.521	94.127	2.030	2.595	9.397	3.566	75.485	6.350	0.511	0.417	-0.334	-0.590	-5.300		
aa-rwlt-coding-agent-010	36	40941	40355	40352	79.298	163.160	83.862	1.946	2.698	9.394	3.684	74.152	6.490	0.485	0.330	-0.018	-10.044	-5.255		
aa-rwlt-coding-agent-010	37	41149	40947	40941	70.904	168.766	97.862	2.012	2.601	9.348	3.491	76.826	5.702	0.496	0.456	-0.139	1.819	-4.750		
aa-rwlt-coding-agent-010	38	41659	41152	41149	73.563	168.132	94.569	1.981	2.482	9.454	3.308	77.569	5.858	0.484	0.147	-0.287	-1.606	-4.821		
aa-rwlt-coding-agent-010	39	41905	41662	41659	70.002	182.805	112.803	2.071	2.604	9.554	3.502	81.343	5.697	0.548	0.462	-0.188	12.039	-4.829		
aa-rwlt-coding-agent-010	40	42638	41910	41905	83.568	235.921	152.353	2.109	2.506	10.014	3.729	92.406	5.776	0.540	1.248	0.422	38.299	-4.696		
aa-rwlt-coding-agent-010	41	45126	42641	42638	124.119	183.497	59.378	2.109	2.492	10.072	3.645	90.827	5.708	0.484	0.237	-0.081	-51.038	-5.077		
aa-rwlt-coding-agent-010	42	45271	45129	45126	75.291	188.319	113.028	2.152	3.201	10.130	3.603	92.215	5.747	0.517	-0.231	2.205	-2.930	-3.581		
aa-rwlt-coding-agent-010	43	45358	45281	45271	77.734	218.848	141.114	2.152	2.391	10.325	3.684	99.678	5.806	0.484	-1.167	0.017	22.910	-5.166		
aa-rwlt-coding-agent-010	44	46425	45361	45358	103.855	191.928	88.073	2.174	2.025	10.322	3.743	97.334	5.759	0.496	0.080	-1.186	-28.198	-4.476		
aa-rwlt-coding-agent-010	45	46510	46428	46425	77.235	224.250	147.015	2.183	2.908	10.505	3.776	101.785	5.835	0.527	0.305	-0.034	24.665	-5.440		
aa-rwlt-coding-agent-010	46	47581	46513	46510	101.784	196.854	95.070	2.199	2.219	10.496	3.952	101.862	6.046	0.481	-0.004	0.015	-26.770	-5.426		
aa-rwlt-coding-agent-010	47	47668	47584	47581	77.139	205.854	128.715	2.235	2.824	10.638	3.938	103.465	5.400	0.493	0.083	0.323	1.420	-2.104		
aa-rwlt-coding-agent-010	48	47869	47671	47668	79.452	206.178	126.726	2.305	2.616	10.694	3.996	105.243	5.835	0.514	-0.050	0.269	0.299	-4.995		
aa-rwlt-coding-agent-010	49	48249	47872	47869	80.629	218.542	137.913	2.311	2.703	10.755	4.039	106.996	5.823	0.481	0.596	0.089	8.836	-4.716		
aa-rwlt-coding-agent-010	50	48782	48252	48249	90.920	209.728	118.808	2.231	2.464	10.770	3.982	107.073	5.850	0.503	0.159	0.070	-9.477	-4.817		
aa-rwlt-coding-agent-010	51	49016	48785	48782	84.827	228.430	143.603	2.357	2.701	10.987	4.091	112.142	5.765	0.503	-0.058	-0.809	11.649	-5.725		
aa-rwlt-coding-agent-010	52	49855	49019	49016	95.596	212.802	117.206	2.440	2.578	10.976	4.176	112.247	5.835	0.486	-0.151	0.058	-17.215	-4.224		
aa-rwlt-coding-agent-010	53	49929	49858	49855	81.445	248.093	166.648	2.402	2.666	11.143	4.219	117.171	7.039	0.496	0.416	-0.023	26.899	-5.780		
aa-rwlt-coding-agent-010	54	51011	49932	49929	109.554	277.581	168.027	3.102	2.584	11.513	4.301	125.725	5.811	0.502	0.766	0.426	18.087	-4.790		
aa-rwlt-coding-agent-010	55	52930	51014	51011	128.725	277.099	148.374	2.679	2.794	11.957	4.658	133.942	6.229	0.483	0.546	0.702	-11.325	-4.291		
aa-rwlt-coding-agent-010	56	54370	52939	52930	116.639	305.190	188.551	2.579	3.134	12.321	4.594	143.394	6.517	0.486	0.536	0.454	18.941	-4.405		
aa-rwlt-coding-agent-010	57	56362	54373	54370	137.337	257.638	120.301	2.666	2.727	12.260	4.599	144.505	5.900	0.493	0.157	0.244	-48.165	-5.085		
aa-rwlt-coding-agent-010	58	56549	56367	56362	90.170	311.990	221.820	2.619	2.650	12.510	4.793	152.997	5.885	0.485	0.597	-0.345	44.292	-4.663		
aa-rwlt-coding-agent-010	59	58113	56554	56549	136.868	288.691	151.823	2.654	2.714	13.007	4.730	157.180	5.930	0.493	-0.379	-1.252	-27.816	-5.438		
aa-rwlt-coding-agent-010	60	58941	58116	58113	109.195	295.715	186.520	2.713	2.812	12.881	5.086	161.718	5.917	0.503	0.055	0.561	-0.470	-5.256		
aa-rwlt-coding-agent-010	61	59745	58944	58941	110.546	299.172	188.626	2.631	2.721	13.040	4.762	165.066	7.024	0.506	0.011	0.000	-1.754	-5.381		
aa-rwlt-coding-agent-010	62	60484	59748	59745	110.888	311.414	200.526	2.827	2.760	13.065	4.869	169.961	5.988	0.514	0.182	0.360	5.557	-5.557		
aa-rwlt-coding-agent-010	63	61143	60487	60484	113.458	334.204	220.746	3.349	2.820	13.762	4.860	178.748	6.251	0.481	-1.056	-0.300	16.678	-4.847		
aa-rwlt-coding-agent-010	64	62395	61147	61143	131.580	305.039	173.459	2.795	2.503	13.454	4.983	180.623	6.245	0.514	-2.195	-0.587	-29.569	-5.307		
aa-rwlt-coding-agent-010	65	62837	62398	62395	102.354	321.555	219.201	2.901	2.869	13.568	5.575	183.038	5.839	0.491	0.130	-0.091	10.132	-5.251		
aa-rwlt-coding-agent-010	66	63368	62840	62837	111.791	331.352	219.561	2.884	2.863	13.605	5.204	188.140	7.609	0.636	1.786	0.196	2.752	-6.114		
aa-rwlt-coding-agent-010	67	64141	63375	63368	117.080	313.819	196.739	2.748	2.703	13.610	5.142	187.559	6.589	0.497	0.093	-0.215	-16.199	-5.788		
aa-rwlt-coding-agent-010	68	64511	64152	64141	106.371	323.451	217.080	2.967	3.038	14.070	5.398	192.143	7.021	0.487	0.621	-0.068	-5.339	-3.258		
aa-rwlt-coding-agent-010	69	64846	64516	64511	103.357	325.461	222.104	2.935	2.822	14.041	5.269	194.932	6.126	0.377	0.800	0.281	0.287	-5.766		
aa-rwlt-coding-agent-010	70	65309	64850	64846	105.531	352.025	246.494	3.115	2.735	14.455	5.342	197.969	6.344	0.509	0.089	-0.024	20.055	-4.095		
aa-rwlt-coding-agent-010	71	65936	65314	65309	118.971	347.361	228.390	2.891	2.825	14.343	5.368	202.214	6.239	0.536	0.674	0.060	-1.727	-5.033		
aa-rwlt-coding-agent-010	72	66489	65940	65936	118.384	357.061	238.677	3.520	2.831	14.821	5.710	206.813	7.163	0.468	0.950	0.915	1.052	-5.566		
aa-rwlt-coding-agent-010	73	67138	66492	66489	134.242	361.912	227.670	2.986	2.738	14.440	5.478	211.426	6.651	0.468	0.816	-1.091	-10.567	-5.675		
aa-rwlt-coding-agent-010	74	67954	67145	67138	122.593	366.671	244.078	3.030	2.621	14.452	5.279	215.973	6.663	0.465	1.100	0.106	-1.525	-4.086		
aa-rwlt-coding-agent-010	75	68686	67959	67954	126.763	352.601	225.838	3.262	2.965	14.874	6.015	218.009	6.302	0.528	0.794	-0.745	-20.673	-5.493		
aa-rwlt-coding-agent-010	76	68849	68697	68686	105.524	358.016	252.492	3.087	2.812	14.684	5.527	220.559	6.251	0.463	0.325	-0.599	3.584	-4.201		
aa-rwlt-coding-agent-010	77	69259	68850	68849	110.428	357.646	247.218	3.108	2.839	14.627	5.422	221.879	6.561	0.482	0.269	0.186	-3.207	-4.948		
aa-rwlt-coding-agent-011	0	11330	2068	2068	105.400	58.368	-47.032	0.677	2.617	3.678	1.225	10.935	5.566	0.490	0.660	1.378	-69.722	-4.536		
aa-rwlt-coding-agent-011	1	11832	11333	11332	37.468	56.718	19.250	0.731	2.309	3.741	1.219	9.472	5.456	0.480	0.654	1.480	-1.286	-5.006		
aa-rwlt-coding-agent-011	2	11974	11835	11834	37.540	55.003	17.463	0.649	2.609	3.790	1.214	8.851	5.480	0.496	0.354	1.399	-3.148	-4.231		
aa-rwlt-coding-agent-011	3	12045	11977	11976	41.376	91.213	49.837	0.774	2.121	4.120	1.586	12.421	5.756	0.380	0.972	2.359	24.988	-5.640		
aa-rwlt-coding-agent-011	4	14404	12048	12047	68.955	87.363	18.408	0.834	2.396	4.471	1.454	14.553	5.940	0.442	1.050	0.444	-8.417	-4.759		
aa-rwlt-coding-agent-011	5	16329	14407	14406	61.027	75.496	14.469	0.923	1.900	4.511	1.476	14.421	5.639	0.517	0.555	0.179	-10.565	-5.087		
aa-rwlt-coding-agent-011	6	16845	16332	16331	55.435	65.068	9.633	0.912	1.950	4.593	1.527	14.014	6.032	0.522	0.245	0.113	-14.904	-5.371		
aa-rwlt-coding-agent-011	7	17244	16851	16847	42.970	126.155	83.185	1.055	2.569	5.440	1.774	22.392	5.893	0.502	1.987	0.925	46.122	-5.474		
aa-rwlt-coding-agent-011	8	21037	17253	17246	95.504	79.080	-16.424	1.120	2.081	5.404	1.847	22.113	5.665	0.504	0.307	0.218	-51.097	-4.586		
aa-rwlt-coding-agent-011	9	21266	21040	21039	49.728	78.768	29.040	1.135	2.305	5.428	1.898	21.005	5.655	0.496	0.096	0.227	-4.731	-4.474		
aa-rwlt-coding-agent-011	10	21572	21269	21268	48.186	79.534	31.348	1.156	2.187	5.531	1.937	21.027	5.575	0.490	0.047	-0.047	-1.205	-5.350		
aa-rwlt-coding-agent-011	11	21809	21575	21574	47.357	80.808	33.451	1.172	2.517	5.614	1.948	20.781	5.664	0.484	0.343	-0.116	-1.631	-3.325		
aa-rwlt-coding-agent-011	12	22017	21812	21811	48.142	95.209	47.067	1.235	2.125	5.875	2.028	22.032	5.613	0.498	0.808	0.269	11.712	-5.128		
aa-rwlt-coding-agent-011	13	22908	22020	22019	63.695	94.891	31.196	1.179	2.500	5.836	2.014	23.834	5.518	0.491	0.011	0.512	-5.968	-4.731		
aa-rwlt-coding-agent-011	14	23491	22911	22910	54.184	155.664	101.480	1.574	2.250	6.815	2.384	32.172	6.056	0.379	2.231	1.192	51.819	-5.392		
aa-rwlt-coding-agent-011	15	27221	23494	23493	106.140	110.216	4.076	1.540	2.680	6.919	2.533	34.468	5.997	0.398	1.265	0.396	-47.513	-4.607		
aa-rwlt-coding-agent-011	16	28017	27224	27223	60.532	109.668	49.136	1.452	2.517	6.943	2.505	35.232	5.745	0.480	1.433	0.249	-2.909	-4.511		
aa-rwlt-coding-agent-011	17	28537	28020	28019	58.806	128.612	69.806	1.358	2.488	7.259	2.474	37.982	6.059	0.382	1.340	-0.049	15.518	-5.005		
aa-rwlt-coding-agent-011	18	29706	28540	28539	75.746	113.888	38.142	1.451	2.376	7.224	2.542	38.955	5.622	0.382	0.883	0.015	-16.140	-5.168		
aa-rwlt-coding-agent-011	19	30236	29709	29708	60.181	112.820	52.639	1.505	2.463	7.339	2.701	39.587	5.611	0.479	0.827	0.021	-3.220	-4.674		
aa-rwlt-coding-agent-011	20	30729	30239	30238	60.476	131.990	71.514	1.925	2.551	7.605	2.764	43.141	6.457	0.390	1.269	0.785	10.188	-5.561		
aa-rwlt-coding-agent-011	21	31652	30734	30731	73.182	129.100	55.918	1.836	2.499	7.747	2.843	46.009	5.680	0.385	1.410	0.200	-8.838	-3.853		
aa-rwlt-coding-agent-011	22	32271	31655	31654	65.608	124.626	59.018	1.523	2.503	7.769	2.811	46.605	5.621	0.377	0.900	-0.120	-3.852	-5.119		
aa-rwlt-coding-agent-011	23	32626	32280	32273	63.502	133.970	70.468	1.579	2.336	7.694	2.857	48.213	6.049	0.393	0.606	-0.647	5.338	-3.950		
aa-rwlt-coding-agent-011	24	33192	32629	32628	70.958	136.566	65.608	1.572	2.662	7.925	2.815	50.606	6.275	0.362	0.777	0.163	-2.078	-5.471		
aa-rwlt-coding-agent-011	25	34095	33196	33194	70.099	174.078	103.979	1.906	2.479	8.371	3.000	57.818	5.717	0.378	1.178	0.629	27.365	-4.862		
