RequestID,RequestInfo,Preparation,Preprocess,Transmissions,Postprocess,Delay,Duration,Bandwidth(Gbps)
172074831441920,884.331,28.9075,21.7693,38.2664,0.001216,0.004431,38.2608,80.1626
172080862851073,116.602,0.051261,10.7623,0.094975,0.001092,0.002012,0.092234,1108.44
172082112753666,138.031,0.049748,4.13122,0.091832,0.001007,0.002256,0.088767,230.347
172083442348035,116.722,0.050072,18.4023,0.29788,0.000858,0.001686,0.295644,3769.31
172084822274052,19.3269,0.04844,24.9784,0.288208,0.000752,0.001697,0.285863,3612.17
172085807935493,35.9985,0.046154,166.029,1.14413,0.000621,0.001688,1.14184,4351.45
172094142017542,30.4079,0.04569,158.374,0.105185,0.00076,0.001371,0.103316,1583.28
172106976587783,69.4811,0.045452,167.032,0.273076,0.0007,0.001697,0.270743,3662.85
172113960103944,41.4054,0.045838,530.192,1.36362,0.000693,0.001862,1.3613,4340.88
172121069449225,40.0972,0.044176,405.431,0.122049,0.000703,0.001708,0.119704,1878.96
172123841884170,39.2537,0.043624,255.337,0.105457,0.000632,0.001474,0.103506,296.32
172125838372875,39.4659,0.043321,216.446,0.101632,0.000782,0.001574,0.099663,410.327
172127704838156,39.1244,0.042126,188.778,0.086705,0.000655,0.002011,0.0841,1215.65
172129562914829,40.8748,0.043856,225.215,0.109572,0.00095,0.001674,0.107227,667.419
172131643289614,39.9915,0.044109,199.864,0.090523,0.000729,0.001779,0.088327,1620.46
172136689037327,39.902,0.045005,196.595,0.104654,0.000623,0.001694,0.102399,798.728
172141055307792,41.3358,0.045287,150.177,0.155192,0.000889,0.00186,0.152701,2209.41
172142791749649,44.718,0.045534,142.022,0.090586,0.000678,0.001144,0.089058,1951.55
172145471909906,43.8257,0.044576,201.524,0.239486,0.00068,0.001772,0.237197,3405.04
172147569061907,43.3503,0.045229,199.022,0.089599,0.000583,0.002009,0.086975,470.186
172149666213908,43.1202,0.044947,170.174,0.12202,0.000751,0.001795,0.119651,512.672
172151398461461,46.1341,0.044041,172.244,0.119888,0.000802,0.001661,0.11753,260.962
172153080377366,43.8297,0.043828,154.909,0.118401,0.000758,0.001697,0.116085,352.28
172156570038295,45.217,0.045673,182.358,0.174214,0.000937,0.001685,0.171855,2439.08
172160961474584,45.6201,0.049786,173.308,0.141439,0.000973,0.001917,0.138863,515.366
172163071209497,44.9603,0.043914,181.344,0.106792,0.000674,0.001425,0.104778,780.593
172164954451994,44.6751,0.044444,183.015,0.086363,0.00064,0.001437,0.084426,1210.96
172168062431259,48.6439,0.046299,192.988,0.146942,0.000629,0.001694,0.144754,2471.96
172170713231388,48.4771,0.04383,214.963,0.113689,0.000813,0.001443,0.111464,1008.93
172173573746717,48.3483,0.048573,184.291,0.10552,0.00061,0.001606,0.103346,494.63
172179923922974,50.2605,0.053652,220.106,0.192356,0.000776,0.001896,0.189863,2530.82
172202308923423,52.466,0.051705,212.232,0.132771,0.000751,0.001919,0.130071,1021.8
172208222892064,50.2099,0.046576,202.968,0.106426,0.000659,0.0015,0.104436,783.149
172210101940257,50.1516,0.045476,204.478,0.11758,0.000569,0.00153,0.115471,354.154
172212442361890,49.9069,0.046112,216.042,0.115586,0.000797,0.001565,0.113554,2340.86
172230540783651,53.0897,0.050694,226.59,0.175534,0.000761,0.001871,0.173005,2068.3
172240057659428,52.1791,0.04824,220.158,0.118747,0.000653,0.001534,0.116692,1138.96
172243148861477,53.2328,0.046045,246.786,0.148851,0.000638,0.001461,0.146755,2368.59
172245933879334,52.7454,0.045709,224.714,0.131345,0.000698,0.001422,0.129396,1817.24
172249301905447,55.8472,0.047969,279.844,0.213751,0.00083,0.002054,0.211079,2663.93
172253106139176,55.748,0.045729,354.505,0.254421,0.000622,0.001586,0.252184,3486.47
172256138620969,56.3703,0.045713,319.554,0.110363,0.000607,0.001362,0.108551,941.826
172259779276842,52.9104,0.045468,300.596,0.119842,0.00065,0.001698,0.117695,608.057
172262191001643,47.9706,0.04667,326.169,0.111616,0.00069,0.001471,0.109721,1863.57
172264879550508,48.5135,0.04595,316.608,0.108693,0.000648,0.001322,0.106856,287.03
172267274498093,47.9775,0.048657,264.326,0.128761,0.00064,0.001531,0.126632,322.939
172269996601390,49.1667,0.046462,276.182,0.119628,0.000656,0.001594,0.117536,1565.69
172272370577455,49.557,0.049173,278.208,0.11655,0.000643,0.001776,0.114139,358.287
172274669056048,49.8427,0.045649,286.843,0.11575,0.000682,0.00134,0.113807,898.329
172278460706865,49.3424,0.047606,278.479,0.115753,0.000636,0.001529,0.113618,449.912
172280956317746,49.5758,0.047037,281.164,0.107823,0.000558,0.001117,0.106272,481.012
172283397402675,49.245,0.047274,290.749,0.109881,0.000674,0.001471,0.107987,1325.44
172286018842676,49.6285,0.045311,277.189,0.123781,0.000817,0.001256,0.121908,587.044
172288510259253,50.6208,0.045622,280.284,0.104793,0.000676,0.00146,0.102819,994.331
172291278499894,49.845,0.047834,285.726,0.112107,0.000693,0.001369,0.110197,463.879
172293711196215,49.7296,0.04761,291.584,0.110486,0.00077,0.001507,0.108335,566.222
172296110338104,50.6122,0.048276,308.094,0.129669,0.000828,0.00152,0.127481,962.366
172298790498361,51.1235,0.047828,311.508,0.149704,0.000622,0.001319,0.147792,2213.62
172302225633338,52.4918,0.047763,326.684,0.159734,0.000798,0.001492,0.157609,2010.88
172305643991099,51.6697,0.047132,330.125,0.158257,0.000765,0.001959,0.155588,1708.45
172308445786172,52.3933,0.049407,332.579,0.109343,0.000781,0.001388,0.107456,285.427
172310966562877,13.3271,0.045168,8.91686,0.756334,0.000584,0.001044,0.754701,3942.05
172311989973054,12.8511,0.043524,4.65154,0.090308,0.000619,0.001173,0.088564,1847
172312623312959,12.6167,0.044167,3.13053,0.067416,0.000619,0.001031,0.065869,931.268
172313256652864,12.6312,0.044522,2.87466,0.06706,0.000632,0.000962,0.06564,467.259
172313864826945,14.4844,0.043792,4.98892,0.206865,0.000653,0.000918,0.20549,3731.43
172314863071298,14.8915,0.0429,6.97625,0.193554,0.000617,0.000983,0.192168,3245.29
172315710320707,14.8817,0.043966,6.60002,0.088018,0.000632,0.001035,0.086537,2008.41
172316440129604,15.8407,0.043988,6.19117,0.082406,0.000629,0.001056,0.080929,1642.27
172317056692293,17.2466,0.043548,11.2238,0.304612,0.000604,0.000956,0.303293,4011.34
172318616973382,18.9479,0.042199,11.1726,0.085362,0.000753,0.001242,0.083532,979.133
172319325810759,21.2198,0.041591,10.691,0.078645,0.000709,0.000993,0.076875,1462.89
172319992705096,20.2831,0.041992,10.7885,0.07643,0.000816,0.001201,0.074587,1096.56
172320818982985,19.4398,0.042599,11.0882,0.084639,0.00065,0.001181,0.082917,986.395
172324082151498,20.4746,0.043617,12.8101,0.115304,0.000747,0.001179,0.113583,2520.28
172325449494603,20.2474,0.042743,13.729,0.102686,0.000724,0.001249,0.100799,1927.09
172333045379148,23.0795,0.046052,20.9753,0.320834,0.000627,0.001556,0.318774,3752.39
172335855562829,25.1474,0.048257,23.9444,0.133459,0.000747,0.001672,0.131055,2028.26
172337642336334,22.3395,0.048063,24.9539,0.100959,0.000728,0.000979,0.099521,1746.38
172343665356879,23.0531,0.047113,28.0116,0.156128,0.000723,0.001467,0.15409,2521.24
172349218615376,23.1324,0.045752,29.1611,0.1056,0.000695,0.001064,0.104062,1670.17
172350074253393,23.2449,0.04515,29.7352,0.104701,0.000649,0.001381,0.102736,1592.22
172351852638290,24.0014,0.044333,31.4387,0.130097,0.000676,0.001174,0.128381,2389.05
172362418090067,24.465,0.048628,32.8041,0.119847,0.000739,0.001427,0.117842,1735.14
172371804942420,24.9438,0.049899,34.5983,0.104114,0.000754,0.001486,0.101983,1202.98
172373080010837,24.9942,0.044594,36.0587,0.101512,0.000632,0.00121,0.099719,1947.96
172381506367574,25.7273,0.046451,37.8125,0.128982,0.00063,0.001181,0.127362,2327.89
172385574842455,26.4724,0.044802,44.1471,0.201428,0.000626,0.001203,0.199826,3376.73
172396224180312,28.0308,0.048842,46.9156,0.146824,0.00083,0.001532,0.144764,2118.68
172398858203225,27.1981,0.045479,48.9711,0.098305,0.000639,0.001165,0.096667,1797.94
172407024513114,28.5432,0.048037,51.8696,0.143107,0.000709,0.001297,0.141349,2097.54
172408362496091,28.1362,0.04392,52.5667,0.076171,0.000746,0.001145,0.074558,959.861
172409473986652,28.3438,0.044932,51.9526,0.087505,0.000668,0.001156,0.085901,1428.2
172411898294365,28.4714,0.045137,55.8315,0.113525,0.000632,0.001271,0.111833,2742.56
172413374689374,29.1006,0.046183,58.3169,0.109163,0.000714,0.001361,0.107385,2094.52
172415501201503,29.692,0.048409,61.2559,0.121573,0.000664,0.001475,0.119609,1880.46
172417879371872,30.014,0.045761,64.8393,0.149445,0.000672,0.001091,0.147883,2419.66
172419242520673,29.8284,0.044628,66.2547,0.099194,0.000695,0.001088,0.097671,1360.76
172420928630882,30.0341,0.045472,66.7507,0.093566,0.000686,0.001052,0.092094,999.116
172422832844899,30.0384,0.045438,67.546,0.084902,0.000608,0.001211,0.083294,859.189
172424233742436,30.7291,0.045673,69.1152,0.099032,0.000737,0.001221,0.09741,1574.32
172428335771749,30.9551,0.046262,71.0963,0.119363,0.000661,0.001258,0.117674,1563.86
172430026076262,31.1063,0.044675,71.8203,0.085112,0.000606,0.001074,0.083566,1345.76
172432899174503,31.2652,0.050197,73.8169,0.098578,0.000664,0.001278,0.096851,1583.4
172444479647848,32.9876,0.053173,77.5226,0.129948,0.00086,0.001664,0.127713,1761.13
172445943459945,32.1974,0.045456,78.0214,0.098332,0.000647,0.001269,0.096663,634.593
172451375083626,32.2524,0.045154,81.742,0.122966,0.000622,0.001286,0.121235,2108.22
172453895860331,32.7321,0.047643,84.2607,0.102742,0.000767,0.001331,0.100925,2228.58
172455862988908,34.7274,0.05247,87.5386,0.117512,0.000851,0.001499,0.115449,885.553
172457129668717,33.3632,0.046931,88.5405,0.10454,0.000762,0.001125,0.102989,794.152
172459306512494,33.1454,0.047263,89.5422,0.083814,0.000667,0.001204,0.082221,1243.43
172460631912559,33.2556,0.043913,90.1655,0.089306,0.000598,0.001118,0.087766,1514.33
172462783590512,33.5077,0.046829,91.3385,0.103418,0.000938,0.001379,0.101536,906.206
172464855576689,33.8022,0.046814,92.419,0.098264,0.000928,0.00107,0.09664,740.535
172470140399730,33.8973,0.04554,93.2796,0.096129,0.000637,0.001242,0.094479,432.842
172471469994099,33.7617,0.04273,94.1245,0.082813,0.000726,0.001131,0.081299,1006.03
172473164492916,34.3968,0.043929,94.7676,0.092442,0.000635,0.000893,0.091164,672.872
172476440244341,33.7068,0.04474,94.9355,0.079266,0.000632,0.001087,0.077811,131.39
172479715995766,34.2393,0.050872,100.382,0.149373,0.000718,0.001218,0.147652,2631.17
172486401716343,35.9024,0.048429,105.132,0.135009,0.00099,0.001524,0.132975,2614.05
172490239504504,35.7498,0.051127,107.214,0.090954,0.000703,0.001392,0.089151,1261.45
172548871680121,38.8993,0.054589,113.209,0.156133,0.000833,0.001645,0.153792,1994.31
172552453615738,36.5232,0.045766,114.636,0.099001,0.000659,0.001149,0.097328,1155.47
172563807596667,37.2458,0.050838,117.96,0.129697,0.000774,0.001413,0.127866,1998.89
172567930597500,12.0071,0.046557,3.40687,0.632802,0.000674,0.001047,0.63133,3789.34
172568874315901,15.3962,0.043814,10.6638,0.650854,0.000643,0.000858,0.649576,4107.85
172571604807806,17.3976,0.044284,9.63863,0.095202,0.000654,0.001119,0.093542,1420.83
172573479661695,16.639,0.043441,8.58236,0.105995,0.000628,0.001194,0.104368,2546.89
172574343688320,17.3987,0.043235,9.52786,0.155932,0.000667,0.000975,0.154407,2780.91
172575165771905,17.5201,0.044025,9.73266,0.099747,0.000626,0.001115,0.097897,1879.78
172576122073218,17.7899,0.044529,10.1404,0.103361,0.00063,0.000841,0.102073,1802.88
172576868659331,23.2391,0.047656,23.0677,0.537778,0.000648,0.001181,0.535985,4158.23
172579582374020,22.8217,0.046745,26.0027,0.163668,0.000847,0.001349,0.161769,2591.15
172582732296325,28.7943,0.048729,27.7682,0.111448,0.000712,0.001077,0.109809,1582.76
172586188402822,23.6225,0.046464,28.2532,0.074252,0.000771,0.001316,0.07231,1131.09
172587006292103,22.8622,0.045459,28.8676,0.083215,0.000682,0.001111,0.081544,1629.88
172587769655432,23.6845,0.044736,29.6329,0.083484,0.000579,0.001244,0.08181,1624.58
172593754927241,24.6198,0.048327,32.6783,0.148869,0.000634,0.001265,0.147072,2433
172596707717258,25.799,0.044523,36.8691,0.189998,0.000736,0.001333,0.188272,2823.72
172600004440203,26.7868,0.048189,46.8512,0.306821,0.0007,0.001302,0.304935,3788.57
172601879294092,30.1484,0.045952,47.4856,0.101268,0.000615,0.001241,0.099464,1130.66
172604177772685,28.9941,0.048149,58.3318,0.255503,0.000779,0.00114,0.253811,3786.36
172610154655886,30.6027,0.050973,60.2559,0.121729,0.000848,0.001476,0.119637,1110.92
172623232495759,35.5085,0.054166,72.6651,0.227246,0.000832,0.001661,0.224885,3455.08
172626361446544,31.3646,0.046563,72.5731,0.097029,0.000609,0.001334,0.095192,429.6
172627430994065,30.5484,0.044523,73.7413,0.09422,0.000628,0.001042,0.092755,1432.88
172632405438610,31.7246,0.048478,76.892,0.132925,0.000782,0.000991,0.131509,2409.97
172633605009555,31.0556,0.044033,77.4548,0.080968,0.000623,0.001074,0.079489,514.467
172635211427988,31.1778,0.043864,78.4567,0.084682,0.00063,0.001024,0.083233,736.988
172638449430677,36.1286,0.045621,78.4061,0.086985,0.000594,0.001045,0.08554,239.037
172640487862422,31.5554,0.044779,79.2837,0.084809,0.000647,0.000953,0.083421,857.881
172642274635927,31.5289,0.044698,79.1265,0.084119,0.000636,0.001323,0.082397,496.31
172644657000600,37.4904,0.04477,92.2055,0.257316,0.000661,0.00114,0.255773,3797.29
172646972256409,33.2888,0.044457,91.787,0.093569,0.000612,0.001183,0.091868,333.858
172648343793818,33.1201,0.045058,94.0589,0.100587,0.000686,0.0012,0.098938,1756.67
172649660805275,33.5481,0.044621,95.8726,0.089092,0.000647,0.001117,0.087561,1634.64
172651023954076,33.4043,0.044531,99.5518,0.118651,0.000578,0.001519,0.116665,2015.54
172653053997213,34.9506,0.047799,102.696,0.107553,0.000725,0.001557,0.105521,1647.08
